category,class,exact_hits,dynamic_prefix_hits,css_files
A,chp-input-actions,1,0,"src/app/globals.css"
A,chp-left,1,0,"src/app/globals.css"
A,chp-legal-link,5,0,"src/app/globals.css"
A,chp-legal-links,1,0,"src/app/globals.css"
A,chp-legal-note,1,0,"src/app/globals.css"
A,chp-login-benefit,1,0,"src/app/globals.css"
A,chp-login-primary-btn,1,0,"src/app/globals.css"
A,chp-logo-img,1,0,"src/app/globals.css"
A,chp-right,2,0,"src/app/globals.css"
A,chp-right-title,1,0,"src/app/globals.css"
A,chp-section,23,0,"src/app/globals.css"
A,chp-section--guest,1,0,"src/app/globals.css"
A,chp-section-desc,1,0,"src/app/globals.css"
A,chp-section-header,1,0,"src/app/globals.css"
A,chp-section-title,6,0,"src/app/globals.css"
A,chp-select-content,1,0,"src/app/globals.css"
A,chp-select-item,1,0,"src/app/globals.css"
A,chp-skel-addr,1,0,"src/app/globals.css"
A,chp-skel-field,5,0,"src/app/globals.css"
A,chp-submit-btn,2,0,"src/app/globals.css"
A,chp-sum-row,2,0,"src/app/globals.css"
A,chp-sum-sub-block,1,0,"src/app/globals.css"
A,chp-sum-total-row,1,0,"src/app/globals.css"
A,chp-summary-totals,1,0,"src/app/globals.css"
A,chp-tax-note,1,0,"src/app/globals.css"
A,chp-textarea,4,0,"src/app/globals.css"
A,chp-textarea-clear,1,0,"src/app/globals.css"
A,cm-card,18,0,"src/components/cafe/CafeMenuPage.css"
A,cm-card--highlight,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-card-badges,2,0,"src/components/cafe/CafeMenuPage.css"
A,cm-card-img,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-card-info,3,0,"src/components/cafe/CafeMenuPage.css"
A,cm-card-name,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-card-price,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-card-thumb,5,0,"src/components/cafe/CafeMenuPage.css"
A,cm-filter-signature-icon,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-filter-tab,3,0,"src/components/cafe/CafeMenuPage.css"
A,cm-like-count,5,0,"src/components/cafe/CafeMenuPage.css"
A,cm-like-count--liked,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-like-count-icon,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-like-count-num,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-like-particle,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-menu-name-with-sig,2,0,"src/components/cafe/CafeMenuPage.css"
A,cm-meta-badge,8,0,"src/components/cafe/CafeMenuPage.css"
A,cm-meta-badge--new,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-meta-badge--popular,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-meta-badge--season,2,0,"src/components/cafe/CafeMenuPage.css"
A,cm-meta-badge--sold,1,0,"src/components/cafe/CafeMenuPage.css"
A,cm-signature-icon,2,0,"src/components/cafe/CafeMenuPage.css"
A,cm-tab-label,1,0,"src/components/cafe/CafeMenuPage.css"
A,cmsplit-desc,1,0,"src/components/home/HomePage.css"
A,cmsplit-info,1,0,"src/components/home/HomePage.css"
A,cmsplit-name,1,0,"src/components/home/HomePage.css"
A,cmsplit-photo-link,1,0,"src/components/home/HomePage.css"
A,cmsplit-row,1,0,"src/components/home/HomePage.css"
A,cmsplit-status,1,0,"src/components/home/HomePage.css"
A,cmsplit-thumb,1,0,"src/components/home/HomePage.css"
A,cns-allergen,4,0,"src/components/cafe/CafeMenuPage.css"
A,cns-allergen-chip,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-allergen-chips,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-allergen-title,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-category-label,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-category-row,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-content,1,0,"src/app/globals.css|src/components/cafe/CafeMenuPage.css"
A,cns-head,3,0,"src/components/cafe/CafeMenuPage.css"
A,cns-head-top,2,0,"src/components/cafe/CafeMenuPage.css"
A,cns-image,2,0,"src/components/cafe/CafeMenuPage.css"
A,cns-image-wrap,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-item-desc,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-item-name,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-item-volume,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-like--popping,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-like-count,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-like-icon,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-row,3,0,"src/components/cafe/CafeMenuPage.css"
A,cns-row-label,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-row-value,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-sticky-actions,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-table,1,0,"src/components/cafe/CafeMenuPage.css"
A,cns-temp-pill,2,0,"src/components/cafe/CafeMenuPage.css"
A,cns-title-col,1,0,"src/components/cafe/CafeMenuPage.css"
A,cp-continue-cta,1,0,"src/app/globals.css"
A,cp-cta-area,1,0,"src/app/globals.css"
A,cp-empty,3,0,"src/app/globals.css"
A,cp-empty-icon,1,0,"src/app/globals.css"
A,cp-empty-msg,1,0,"src/app/globals.css"
A,cp-footer,1,0,"src/app/globals.css"
A,cp-order-btn,1,0,"src/app/globals.css"
A,cp-page-header,2,0,"src/app/globals.css"
A,cp-root,2,0,"src/app/globals.css"
A,cp-shipping-label,2,0,"src/app/globals.css"
A,cp-shipping-main,2,0,"src/app/globals.css"
A,cp-shipping-notice,2,0,"src/app/globals.css"
A,cp-shipping-price,2,0,"src/app/globals.css"
A,cp-shipping-row,3,0,"src/app/globals.css"
A,cp-skel-footer,3,0,"src/app/globals.css"
A,cp-skel-footer-btn,1,0,"src/app/globals.css"
A,cp-skel-subtotal,1,0,"src/app/globals.css"
A,cp-subtotal-label,1,0,"src/app/globals.css"
A,cp-subtotal-price,1,0,"src/app/globals.css"
A,cp-tax-note,1,0,"src/app/globals.css"
A,cp-title-text,1,0,"src/app/globals.css"
A,cta-btn,14,0,"src/app/globals.css"
A,cta-btn-light-filled,2,0,"src/app/globals.css"
A,cta-btn-light-outline,5,0,"src/app/globals.css"
A,disabled,282,0,"src/app/globals.css|src/components/product/ProductDetailPage.css"
A,emph-closed,2,0,"src/app/globals.css"
A,emph-time,2,0,"src/app/globals.css"
A,error-page,5,0,"src/app/globals.css"
A,error-page-actions,1,0,"src/app/globals.css"
A,error-page-home,1,0,"src/app/globals.css"
A,error-page-msg,1,0,"src/app/globals.css"
A,error-page-retry,1,0,"src/app/globals.css"
A,ev-banner,7,0,"src/components/home/HomePage.css"
A,ev-banner-bleed,2,0,"src/components/home/HomePage.css"
A,ev-banner-iframe,4,0,"src/components/home/HomePage.css"
A,f-biz-inline,2,0,"src/components/layout/SiteFooter.css"
A,f-biz-lookup,2,0,"src/components/layout/SiteFooter.css"
A,f-biz-sep,16,0,"src/components/layout/SiteFooter.css"
A,f-biz-toggle,2,0,"src/components/layout/SiteFooter.css"
A,f-bottom-row,2,0,"src/components/layout/SiteFooter.css"
A,f-bottom-sep,3,0,"src/components/layout/SiteFooter.css"
A,f-bottom-wrap,5,0,"src/components/layout/SiteFooter.css"
A,f-brand,1,0,"src/components/layout/SiteFooter.css"
A,f-col-title,3,0,"src/components/layout/SiteFooter.css"
A,f-cols,1,0,"src/components/layout/SiteFooter.css"
A,f-copyright,2,0,"src/components/layout/SiteFooter.css"
A,f-inner,1,0,"src/app/globals.css|src/components/layout/SiteFooter.css"
A,f-legal-link,2,0,"src/components/layout/SiteFooter.css"
A,f-logo,1,0,"src/components/layout/SiteFooter.css"
A,f-sns-icon,1,0,"src/components/layout/SiteFooter.css"
A,f-tagline,1,0,"src/components/layout/SiteFooter.css"
A,footer,88,0,"src/app/globals.css|src/components/layout/SiteFooter.css"
A,footer-col-link,6,0,"src/components/layout/SiteFooter.css"
A,footer-sns-link,1,0,"src/components/layout/SiteFooter.css"
A,gd-cell,8,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-cell--placeholder,3,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-cell--span,1,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-controls-hidden,3,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-grid,3,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-lightbox,3,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-row,12,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-row--a,2,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-row--b,2,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-row--c,2,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-row--d,2,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-row--e,2,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-tap-flash,2,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-tap-zone,4,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-tap-zone--next,1,0,"src/components/gooddays/GoodDaysPage.css"
A,gd-tap-zone--prev,1,0,"src/components/gooddays/GoodDaysPage.css"
A,grain-overlay,1,0,"src/components/home/HomePage.css"
A,gtr-admin,10,0,"src/app/admin/admin-theme.css"
A,gtr-mono,27,0,"src/app/admin/admin-theme.css"
A,gtr-tnum,10,0,"src/app/admin/admin-theme.css"
A,hdr,37,0,"src/app/globals.css|src/components/layout/SiteHeader.css"
A,hdr-icon-btn,4,0,"src/app/globals.css|src/components/layout/HeaderIcons.css|src/components/layout/SiteHeader.css"
A,hdr-icon-user,1,0,"src/components/layout/SiteHeader.css"
A,hdr-icons,1,0,"src/components/layout/SiteHeader.css"
A,hdr-left,1,0,"src/components/layout/SiteHeader.css"
A,hdr-menu-toggle,1,0,"src/components/layout/HeaderIcons.css|src/components/layout/SiteHeader.css"
A,hdr-nav,1,0,"src/components/layout/SiteHeader.css"
A,hero,63,0,"src/app/globals.css|src/components/home/HomePage.css"
A,hero-bg,4,0,"src/components/home/HomePage.css"
A,hero-bg-overlay,1,0,"src/components/home/HomePage.css"
A,hero-bg-placeholder,1,0,"src/components/home/HomePage.css"
A,hero-c,1,0,"src/app/globals.css|src/components/home/HomePage.css"
A,hero-scroll-mouse,1,0,"src/components/home/HomePage.css"
A,hero-slogan,5,0,"src/components/home/HomePage.css"
A,hero-slogan-line,4,0,"src/components/home/HomePage.css"
A,hero-slogan-line--1,1,0,"src/components/home/HomePage.css"
A,hero-slogan-line--2,1,0,"src/components/home/HomePage.css"
A,hi,17,0,"src/components/layout/HeaderIcons.css|src/components/layout/SiteHeader.css"
A,is-tapping,5,0,"src/app/globals.css"
A,legal-accordion-list,1,0,"src/components/legal/LegalPage.css"
